Zip Code,Tax Returns,AGI thousands
95670,23488,1252340
95672,2059,162007
95673,6284,269360
95674,378,21762
95677,11226,713852
95678,18980,1032363
95681,506,23549
95682,13290,933668
95683,2939,291500
95684,1238,64170
95685,2189,128716
95687,26170,1503322
95688,15278,1048068
95689,623,36572
95690,1098,62368
95691,15085,832586
95692,2030,106915
95693,3067,245881
95694,4161,223594
95695,15709,859426
95703,777,43932
95709,2236,127494
95713,3298,186109
95722,2225,181073
95726,3636,190236
95742,3822,284610
95746,9724,1374252
95747,23293,1766882
95757,14852,1016547
95758,26197,1571710
95762,16691,2147421
95765,13892,1099195
95776,9781,480105
95811,3384,160478
95814,3905,180148
95815,8984,266619
95816,10214,570357
95817,5508,209275
95818,10397,736320
95819,8811,733949
95820,14730,501641
95821,15210,697142
95822,18844,827034
95823,28636,916081
95824,11439,298157
95825,13817,591794
95826,16253,761413
95827,9375,409961
95828,23106,837872
95829,10786,626267
95830,360,26820
95831,20670,1374554
95832,4293,118728
95833,16416,723741
95834,11129,549095
95835,15465,1018965
95837,141,15078
95838,13639,406835
95841,8603,334521
95842,12971,460744
95843,18593,902034
95864,11017,1197570
95901,12120,472903
95903,711,23124
95912,2077,108769
95914,354,14112
95916,521,20124
95917,1237,58751
95918,894,58730
95919,481,22527
95920,122,6361
95922,190,7858
95925,98,4313
95926,13839,620908
95928,13135,740983
95932,3236,167802
95934,127,4519
95935,268,9720
95938,1801,113519
95939,147,6286
95941,154,5751
95942,628,36740
95943,366,27115
95945,10871,515328
95946,4455,272768
95947,696,28880
95948,4213,181701
95949,8414,492245
95953,3888,149768
95954,4441,178703
95957,324,17092
95959,8178,504674
95960,514,15905
95961,8847,348925
95962,689,34416
95963,5963,235806
95965,6748,239460
95966,10608,442017
95968,801,24656
95969,10859,501106
95970,240,16719
95971,2693,130542
95973,13559,726154
95975,834,39650
95977,619,30043
95979,168,8149
95982,1401,76316
95983,205,8438
95987,2654,103008
95988,3525,165068
95991,15010,617743
95993,14417,768220
96001,13168,726119
96002,13047,579246
96003,17387,804941
96006,210,8377
96007,8680,333280
96008,739,37209
96013,1593,70860
96015,147,6436
96016,140,6712
96019,3678,135862
96020,1290,58181
96021,5942,203487
96022,6159,289843
96023,472,17228
96024,322,13481
96025,886,30420
96027,854,39962
96028,630,28048
96032,911,37264
96033,156,5746
96034,133,5541
96035,1116,37142
96038,274,11587
96039,417,13727
96040,108,5372
96041,796,31129
96044,375,14656
96047,363,17589
96048,266,10389
96050,155,5810
96051,518,23014
96052,488,17868
96055,1429,90396
96056,622,29139
96057,543,20590
96058,283,11924
96059,230,9938
96062,512,29547
96064,1619,66123
96065,144,5100
96067,3462,164907
96069,364,16838
96073,2164,138233
96080,11284,485882
96086,113,3544
96088,1841,81137
96091,260,10760
96094,2593,126794
96096,317,14646
96097,4110,184734
96101,2129,88725
96103,763,42418
96104,336,13708
96105,181,9296
96107,409,19160
96109,363,16217
96114,1293,73978
96117,154,6890
96118,590,27153
96120,370,19186
96121,170,9538
96122,1576,69397
96124,121,5905
96125,121,5813
96128,246,12712
96130,5858,295806
96134,851,30366
96137,1312,61877
96146,704,48576
96150,6401,280302
96161,4549,364679
