Zip Code,2006-2012 Transactions,2010 Population
90018,16,49310
95139,16,6748
95619,16,4842
92378,15,183
91978,15,8896
93604,15,674
95690,14,2533
95631,14,6076
94720,14,2964
92007,13,10429
93619,13,28965
93602,13,3862
95646,12,158
95604,12,75
93243,11,1699
93424,11,1261
93529,10,633
95614,10,3833
95449,10,1507
94923,10,1411
90073,10,539
95634,10,3232
94130,10,2880
92036,9,3440
96056,9,1642
94592,8,742
96052,7,1460
96088,6,4506
96009,6,569
94970,6,683
93614,6,11661
94951,6,4124
95686,6,1405
95683,6,6180
95117,5,30067
92276,5,7585
94128,5,69
95655,5,4314
94963,5,569
92316,5,30830
94038,5,3040
95912,4,4685
93516,4,2299
94938,4,812
95693,4,6758
95497,4,1305
96129,4,261
95053,4,2206
93219,3,10194
96032,3,2407
95562,3,3450
92314,3,10162
94964,3,5094
92585,3,17797
95558,3,425
93067,3,895
95005,3,6311
95426,2,2147
93222,2,2099
93234,2,6987
94940,2,268
93643,2,3171
95368,2,13614
94037,2,2913
95663,2,2377
93066,2,3102
93451,2,3779
94924,2,1638
95427,2,459
93601,2,1909
96120,1,957
95450,1,387
95934,1,274
95570,1,2579
95231,1,4374
94005,1,4282
96064,1,4574
96103,1,1725
95736,1,240
92282,1,1239
95735,1,68
95962,1,1567
90068,1,22286
93667,1,2604
94567,1,623
90056,1,7827
