Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
92806,"37,173",7.7,"4,810"
92807,"36,171",10.7,"3,376"
92808,"20,039",5.1,"3,943"
92821,"35,533",10.5,"3,372"
92823,"3,613",10.9,332
92831,"34,204",6.0,"5,724"
92832,"24,752",2.8,"8,796"
92833,"51,767",7.3,"7,087"
92835,"24,010",6.0,"3,985"
92840,"54,083",5.2,"10,397"
92841,"32,845",4.5,"7,330"
92843,"45,214",3.9,"11,574"
92844,"24,307",2.1,"11,433"
92845,"16,333",2.2,"7,463"
92860,"27,198",14.0,"1,946"
92861,"5,781",2.1,"2,719"
92865,"19,704",3.7,"5,384"
92866,"14,885",1.9,"7,705"
92867,"44,515",7.9,"5,608"
92868,"25,404",3.2,"7,857"
92869,"37,184",9.3,"4,001"
92870,"52,033",6.8,"7,661"
92879,"46,745",10.0,"4,653"
92880,"58,763",24.7,"2,380"
92881,"30,991",27.7,"1,120"
92882,"67,917",25.8,"2,638"
92883,"29,301",55.7,526
92886,"46,564",14.7,"3,162"
92887,"20,006",9.0,"2,226"
93001,"32,990",205.4,161
93003,"50,474",20.6,"2,453"
93004,"29,149",6.9,"4,245"
93010,"42,901",22.1,"1,938"
93012,"34,617",52.4,661
93013,"16,091",56.9,283
93015,"17,334",76.6,226
93021,"36,422",47.2,771
93022,"6,106",4.6,"1,322"
93023,"20,589",269.5,76
93030,"59,372",13.9,"4,282"
93033,"82,728",29.3,"2,821"
93035,"27,732",4.1,"6,748"
93036,"41,691",15.9,"2,624"
93040,"2,031",70.6,29
93041,"23,641",11.2,"2,103"
93042,56,22.6,2
93043,333,0.5,691
93060,"32,811",119.0,276
93063,"54,366",33.0,"1,650"
93064,40,5.7,7
93065,"72,508",31.6,"2,291"
93066,"3,102",41.6,75
93067,895,0.6,"1,519"
93101,"31,683",3.4,"9,237"
93103,"20,249",5.2,"3,866"
93105,"24,815",97.1,256
93108,"11,112",21.2,524
93109,"10,858",3.4,"3,210"
93110,"16,829",10.5,"1,596"
93111,"17,370",8.1,"2,142"
93117,"53,217",170.1,313
93201,"1,348",77.4,17
93202,"4,143",0.8,"5,342"
93203,"20,938",214.7,98
93204,"15,529",59.6,260
93205,"2,113",57.6,37
93206,"2,300",149.5,15
93207,263,58.1,5
93208,104,59.0,2
93210,"19,504",771.8,25
93212,"26,079",106.1,246
93215,"55,659",141.9,392
93218,994,64.5,15
93219,"10,194",97.3,105
93220,211,26.4,8
93221,"14,945",131.7,114
93222,"2,099",28.7,73
93223,"10,604",2.5,"4,291"
93224,451,22.4,20
93225,"5,077",177.2,29
93226,282,93.6,3
93230,"65,264",261.8,249
93234,"6,987",80.2,87
93235,"4,559",2.9,"1,582"
93238,"1,490",126.6,12
93239,"1,688",63.9,26
93240,"6,056",74.8,81
93241,"17,489",4.1,"4,240"
93242,"3,468",41.1,84
93243,"1,699",150.3,11
93244,534,68.0,8
93245,"37,412",117.9,317
93247,"17,423",75.7,230
93249,"2,739",223.1,12
93250,"13,522",84.6,160
93251,270,133.8,2
93252,"4,176",679.5,6
93254,811,136.6,6
93255,614,216.5,3
93256,"5,753",79.9,72
93257,"75,004",445.0,169
93258,"2,046",0.4,"4,729"
93260,200,32.9,6
93261,"3,099",8.5,365
93262,63,89.6,1
93263,"19,582",90.6,216
93265,"3,699",374.1,10
93266,"1,587",55.7,28
93267,"6,237",75.2,83
93268,"16,897",41.9,403
93270,"5,837",61.8,94
93271,"2,276",379.7,6
93272,"3,583",83.8,43
93274,"69,721",214.1,326
93276,161,0.7,235
93277,"50,607",40.0,"1,266"
93280,"27,152",322.1,84
93283,"2,040",204.3,10
93285,"2,536",47.2,54
93286,"9,548",85.3,112
93287,119,55.9,2
93291,"52,849",84.6,624
93292,"39,032",108.6,359
93301,"12,248",4.2,"2,929"
93304,"48,731",7.6,"6,416"
93305,"37,601",5.9,"6,336"
93306,"64,587",88.1,733
93307,"82,658",138.9,595
93308,"52,447",316.0,166
93309,"58,409",10.6,"5,487"
93311,"40,829",169.5,241
93312,"56,741",15.2,"3,729"
93313,"43,553",99.7,437
93314,"22,393",98.9,226
93401,"28,033",69.9,401
93402,"14,318",29.1,492
93405,"35,440",87.7,404
93410,0,0.1,0
93420,"28,413",187.4,152
93422,"31,375",59.8,525
93424,"1,261",2.6,479
93426,"1,401",212.2,7
93427,"5,505",56.0,98
93428,"6,314",77.0,82
93429,154,7.4,21
93430,"2,972",72.2,41
93432,"1,384",90.1,15
93433,"13,162",2.2,"6,084"
93434,"7,110",33.0,215
93436,"54,017",218.9,247
93437,"3,338",38.8,86
93440,"2,058",40.2,51
93441,"1,530",54.9,28
93442,"10,789",44.9,241
93444,"19,244",68.9,279
93445,"7,173",16.8,427
93446,"43,714",417.1,105
93449,"7,657",10.0,766
93450,740,169.8,4
93451,"3,779",510.2,7
93452,524,114.1,5
93453,"2,899",622.8,5
93454,"36,448",427.0,85
93455,"41,684",108.1,386
93458,"55,431",27.4,"2,025"
93460,"5,255",123.4,43
93461,"1,623",354.3,5
93463,"7,646",30.2,253
93465,"9,153",87.7,104
93501,"5,467",163.8,33
93505,"14,038",78.2,180
93510,"7,993",71.9,111
93512,277,126.4,2
93513,"1,763",643.5,3
93514,"13,857","1,115.8",12
93516,"2,299",19.3,119
93517,670,593.2,1
93518,"1,146",298.1,4
93519,101,78.7,1
93522,48,46.2,1
93523,"3,074",97.4,32
93524,229,2.1,112
93526,719,136.9,5
93527,"2,387",545.3,4
93528,172,3.8,45
93529,633,30.6,21
93530,47,0.9,52
93531,509,34.3,15
93532,"2,932",113.7,26
93534,"39,341",17.8,"2,215"
93535,"72,046",257.9,279
93536,"70,918",242.7,292
93541,449,267.8,2
93543,"13,033",59.4,220
93544,"1,259",109.6,11
93545,"2,082",106.8,19
93546,"9,567",172.3,56
93549,344,335.5,1
93550,"74,929",196.2,382
93551,"50,798",73.1,695
93552,"38,158",48.5,787
93553,"2,138",86.5,25
93554,72,74.1,1
93555,"32,560",81.6,399
93558,125,3.7,34
93560,"18,910",159.6,119
93561,"34,630",264.1,131
93562,"1,818",39.5,46
93563,388,40.2,10
93591,"7,285",82.5,88
93592,64,150.1,0
93601,"1,909",44.6,43
93602,"3,862",143.6,27
93603,222,43.5,5
93604,674,140.7,5
93605,175,0.4,420
93606,"1,217",0.2,"8,109"
93608,"1,114",109.0,10
