Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
95503,24152,11876,12276,41.7,39.5,44.4
95511,360,195,165,43.3,41.5,45.3
95514,254,142,112,44,48,40.7
95519,17432,8575,8857,37.4,36.2,38.7
95521,20199,10105,10094,27.6,28,26.9
95524,1787,888,899,47.6,47,48.6
95525,1733,869,864,41.7,39.5,44.3
95526,378,213,165,48.5,47.5,50.3
95527,627,345,282,51.4,49.8,54
95528,1139,584,555,45,44.4,45.3
95531,24528,13793,10735,38.2,36.6,41.3
95536,2849,1397,1452,45.8,43,47.2
95537,276,158,118,36.8,33.4,40
95540,13657,6640,7017,38.7,36.1,41.3
95542,2533,1379,1154,43.8,41.7,45.9
95543,765,406,359,52.4,50.9,53.7
95545,153,85,68,46.3,47.5,44.5
95546,3494,1729,1765,28.5,26.4,30.2
95547,1222,619,603,46,46.5,45.5
95548,1373,749,624,42.3,40.5,45.3
95549,805,426,379,46.7,47.1,46.3
95550,128,64,64,34.7,36.5,31.5
95551,1739,860,879,38.6,38.6,38.6
95552,697,366,331,50.9,50.8,51.1
95553,1062,551,511,45.9,44.3,48.6
95554,533,277,256,47.2,47.6,46.8
95555,410,219,191,48.4,48.4,48.4
95556,605,322,283,40.7,42,37.5
95558,425,234,191,48.4,47.6,49.1
95559,182,90,92,47.5,45,50
95560,1648,868,780,40.8,39.8,42.6
95562,3450,1697,1753,38.5,35.6,41.2
95563,652,340,312,49.1,48.6,49.3
95564,462,252,210,31.3,29.8,33
95565,1071,559,512,28.9,30.3,28.2
95567,1930,951,979,45.1,44.7,45.5
95568,136,68,68,48.5,48.5,48.5
95569,361,213,148,42.2,41.4,46.7
95570,2579,1318,1261,47.8,45.1,49.4
95571,271,138,133,44.9,42,45.6
95573,1744,878,866,49.6,49.9,49.3
95585,508,267,241,39.5,35.8,45.3
95587,201,109,92,49.8,50.8,49.3
95589,1612,873,739,45,42.8,46.9
95595,262,134,128,45.6,45.3,47.5
95601,198,98,100,48.6,47,50
95602,17509,8502,9007,48.2,46.7,49.6
95603,27844,13482,14362,46,43.7,48
95604,75,44,31,49.8,45.5,56.3
95605,14179,7115,7064,32.7,31.6,34.2
95606,196,103,93,40.8,40.2,42.5
95607,431,223,208,49.5,48.8,49.9
95608,59418,28017,31401,44,41.7,45.8
95610,44147,21584,22563,35.1,33.6,36.7
95612,1239,631,608,44,41.9,46.3
95614,3833,1856,1977,48.3,48.7,48
95615,834,442,392,37.9,37.3,38.2
95616,47032,21934,25098,23.4,23.7,23
95618,27281,13274,14007,28.4,27.2,29.8
95619,4842,2276,2566,42.9,39.8,45.8
95620,20553,10233,10320,33.6,32.3,34.7
95621,39819,19125,20694,37.5,35.4,39.6
95623,3806,1890,1916,48.6,48.1,49.1
95624,61989,30318,31671,35.5,33.8,37
95625,155,86,69,41.7,40,43.5
95626,5975,2994,2981,39.3,37.7,40.8
95627,3513,1758,1755,33.7,33.2,34.1
95628,40196,19572,20624,44.7,42.9,46.3
95629,832,410,422,52.9,53.6,52.5
95630,72180,38466,33714,37.6,36.8,38.9
95631,6076,3040,3036,47.9,47.8,48
95632,29269,14550,14719,34.2,33.3,35.2
95633,3349,1705,1644,48.5,48.3,48.7
